title,genre,description,director,cast
Ramasethu,"Biography, Drama",The official biopic on E. Sreedharan.,V.K. Prakash,['Jayasurya']
Untitled Tinu Pappachan/Dulquer Salmaan movie,null,Add a Plot,Tinu Pappachan,['Dulquer Salmaan']
A,Thriller,Add a Plot,Lijo Jose Pellissery,"['Sabumon Abdusamad', 'Vinay Forrt', 'Chemban Vinod Jose']"
Oru Police Kaarante Maranam,Thriller,Add a Plot,Remya Aravind,"['Soubin Shahir', 'Urvashi']"
Mariyam Tailors,Comedy,Add a Plot,Johnpaul George,['Kunchacko Boban']
Thattum Vellattam,Drama,Add a Plot,Mridul Nair,"['Soubin Shahir', 'Asif Ali', 'Saiju Kurup', 'Jean Paul Lal']"
Turbo Peter,null,Add a Plot,Midhun Manuel Thomas,['Jayasurya']
Jerry,Comedy,"Jerry revolves around the lives of two families, where a mouse creates infinite chaos.",Anish Uday,"['Pramod Velliyanad', 'Kottayam Nazeer', 'Kumar Sethu']"
Rasta on the Way,Thriller,Add a Plot,Aneesh Anwar,"['Anagha Narayanan', 'Sarjano Khalid', 'Aradhya Ann', 'Sudheesh']"
Apostlanmarude Pravarthikal,"Crime, Thriller",Add a Plot,Rahul Krishna,"['Sarath Kumar', 'Sudheer Karamana', 'Rahul Madhav', 'Noby Marcose']"
Joothan,null,Plot unknown.,Bhadran,"['Soubin Shahir', 'Joju George', 'Rima Kallingal']"
Untitled Bhavana/Rahman movie,"Action, Thriller",Add a Plot,Riyas Marath,"['Bhavana', 'Rahman', 'Drishya Raghunath', 'Binu Pappu']"
Super Zindagi,null,Add a Plot,Vintesh,"['Johny Antony', 'Dhyan Sreenivasan', 'Mukesh', 'Parvati Nair']"
A Ranjith Cinema,Thriller,Add a Plot,Nishanth Sattu,"['Dhinil Babu', 'Asif Ali']"
Highway 2,"Action, Mystery, Thriller",Add a Plot,Jayaraj,['Suresh Gopi']
Ek Din,null,Add a Plot,Viyaan Vishnu,"['Unni Mukundan', 'Gayathri Ashok']"
Apposthalan,Drama,This adventure drama is based on the current political condition in Syria,K.S. Bava,['Jayasurya']
Imbam,Romance,Add a Plot,Sreejith Chandran,"['Navas Vallikkunnu', 'Divya M. Nair', 'Lal Jose', 'Darshana S. Nair']"
My Dear Machans,"Action, Thriller",Add a Plot,Dileep Narayanan,"['Rahul Madhav', 'Kichu Tellus', 'Bala', 'Neeraja']"
ID: The Fake,Thriller,Add a Plot,Arun Sivavilasam,['Dhyan Sreenivasan']
Metre Gauge 1904,"Drama, Thriller","Entangled between history, fiction, love and the wonder that is human ingenuity..lies the story of Engineer Kuruvila, and how he made the impossible possible for love.",Pradeep M. Nair,['Prithviraj Sukumaran']
563 St. Charles Street,"Horror, Thriller",Add a Plot,Rony Roy,['Tovino Thomas']
Mareechan,Thriller,Add a Plot,Nikhil Unni,"['Lena', 'Ashwin Kumar', 'Renji Panicker', 'Siju Wilson']"
Production No. 4,null,Add a Plot,Shanavas K. Bavakutty,"['Hakkim Shah', 'Ganapathi', 'Vijayaraghavan', 'Shammi Thilakan']"
Untitled/B.Unnikrishnan/Devadath Shaji movie,null,Add a Plot,B. Unnikrishnan,['Mohanlal']
Ennittu Avasanam,Comedy,Add a Plot,Emcy Joseph,"['Madhoo', 'Arjun Ashokan', 'Anna Ben']"
Ula,Drama,Add a Plot,Praveen Prabharam,['Aparna Balamurali']
