title,genre,description,director,cast
Kalippaattakkaaran: Toy Maker,Drama,A young toy maker tries to make sense of the impermanence of life that he has been forced to acknowledge through experiences of separation and death.,Sajas Rahman,"['Shinos Rahman', 'Sunitha', 'Noel Raphael', 'Kshama Krishna']"
Kattile Chinthakan,Drama,Add a Plot,Sarbath Chinthu,"['Aswathy Achu', 'Aparna Appu', 'Vaduthala Valsala']"
Female Unnikrishnan,Comedy,Add a Plot,K.B. Madhu,"['Suraj Venjaramoodu', 'Bijukuttan', 'Devan', 'Jagadish']"
Prem at First Sight,Drama,Add a Plot,Santosh Mainkar,"['Sumaydh Gaikwad', 'Aryan Khedekar', 'Shweta Pagar']"
Test Title VP,Adventure,Add a Plot,Vandana Pillai,[]
Bangalore Days,"Comedy, Drama, Romance","A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover and explore.",Anjali Menon,"['Dulquer Salmaan', 'Nivin Pauly', 'Nazriya Nazim', 'Fahadh Faasil']"
Ohm Shanthi Oshaana,"Comedy, Romance","A spirited young girl would stop at nothing to get the first love of her life, even if it takes seven years and several heartbreaks.",Jude Anthany Joseph,"['Nazriya Nazim', 'Nivin Pauly', 'Aju Varghese', 'Vineeth Sreenivasan']"
Iyobinte Pusthakam,"Action, Adventure, Drama","Set in the pre-independent India, Aloshi returns from the war to his estranged family and childhood love, only to find his elder brothers taking the side of a ruthless business man to overthrow their father.",Amal Neerad,"['Fahadh Faasil', 'Jayasurya', 'Lal', 'Isha Sharvani']"
Vikramadithyan,Drama,"Adithyan, the son of a dishonored thief who committed suicide, must fight all the odds and compete with Vikraman for the post of a police officer.",Lal Jose,"['Dulquer Salmaan', 'Unni Mukundan', 'Namitha Pramod', 'Sana Altaf']"
1983,"Drama, Sport","The story of Rameshan who has a huge craze for Cricket, and his final attempt to realize his cricket dream through his son.",Abrid Shine,"['Nivin Pauly', 'Anoop Menon', 'Joy Mathew', 'Nikki Galrani']"
Rajadhi Raja,"Action, Comedy","Shekaran,a humble and pretty man has a dark past in Bombay.His dark underworld side slowly resurfaces when his enimies from past attacks his family",Ajai Vasudev,"['Joy Badlani', 'Rahul Dev', 'Joju George', 'Assim Jamal']"
Munnariyippu,"Drama, Thriller","Anjali, a freelance journalist meets C.K. Raghavan, an interesting inmate who's outstaying his sentence in jail for a crime he says he didn't commit. His vastly different views peak her interest and she documents his life and happenings.",Venu Isc,"['Mammootty', 'Aparna Gopinath', 'Saiju Kurup', 'Joy Mathew']"
Ottamandaram,Drama,The movie is themed around the life of Kala and her agony which she had to face during her life journey.,Vinod Mankara,"['Bhama', 'Sajitha Madathil', 'Nandu', 'Kulappulli Leela']"
Sapthamashree Thaskaraha,"Comedy, Thriller","Seven men, after getting acquainted in prison and finding out that all of their lives have been affected by the same con man, decide to raid the fraudster's life savings.",Anil Radhakrishnan Menon,"['Prithviraj Sukumaran', 'Asif Ali', 'Nedumudi Venu', 'Sudheer Karamana']"
Vellimoonga,"Comedy, Romance",A happy-go-lucky politician is smitten by a girl half his age and tries his luck winning her hand.,Jibu Jacob,"['Biju Menon', 'Nikki Galrani', 'Aju Varghese', 'Asif Ali']"
Life,Drama,"The film is a birds eye view on the family issues. It reiterates the tale of a happy family which consists of Sudhi, Meenakshi and their son Pappoos. When all of a sudden Liya, a loving ...See full summary»",Leon K. Thomas,"['Sarangi Grace', 'Niyaz Musaliyar', 'Niyas']"
7th Day,"Mystery, Thriller",A suspended crime branch officer gets involved in the investigation of a twisted case after he suspects a group of 5 friends of weird behavior.,Syamdhar,"['Prithviraj Sukumaran', 'Anu Mohan', 'Tovino Thomas', 'Vinay Forrt']"
Mr. Fraud,"Action, Crime, Thriller","A prominent person from Delhi reach a palace,which is well known for its tradition and royalty to solve an issue. Consequently, instead of a solution, the issue becomes more and more complicated.",B. Unnikrishnan,"['Mohanlal', 'Dev Gill', 'Vijay Babu', 'Miya George']"
Njan,Drama,"The movie is based on the acclaimed novel K T N Kottur Ezhuthum Jeevithavum by T. P. Rajeevan, which is set in the backdrop of India's freedom struggle and depicts a magical history of a Kerala village.",Ranjith,"['Jayan Cherthala', 'Koottickal Jayachandran', 'Bineesh Kodiyeri', 'Jyothi Krishna']"
Ottaal,Drama,"Ottaal (The Trap) is an adaptation of one of Anton Chekhov's timeless works, Vanka. A story of the 18th century, but one that has travelled the time and space to be retold in the present ...See full summary»",Jayaraj,"['Shine Tom Chacko', 'Sabitha Jayaraaj', 'Thomas G. Kannampuzha', 'Ashanth K. Shah']"
How Old Are You?,Drama,A lady rediscovers her lost charisma for the good of the society overcoming strong odds from a patriarchal society.,Rosshan Andrrews,"['Manju Warrier', 'Kunchacko Boban', 'Amritha Anil', 'Kaniha']"
Vegam,Thriller,VEGAM deals with the life of two youngsters played by Vineeth Kumar and Jacob Gregory who wants to make more money and lead a luxurious life. They decide to to do whatever it takes to make ...See full summary»,AnilKumar,"['Asha Aravind', 'P. Balachandran', 'Joju George', 'Jacob Gregory']"
Salala Mobiles,Comedy,"After his uncle helps Afsal to start a mobile shop, he gets happy and hopeful about future. However, things get complicated to him after he meets, Azhagarsamy, a creator of mobile applications.",Sharath Haridaasan,"['Dulquer Salmaan', 'Santhanam', 'Nazriya Nazim', 'Siddique']"
Koothara,"Comedy, Fantasy",Three engineering students whose life takes a twist after meeting a mysterious man who teaches them the real meaning of life.,Srinath Rajendran,"['Mohanlal', 'Bharath Srinivasan', 'Sunny Wayne', 'Tovino Thomas']"
Avatharam,"Action, Crime, Drama","When Madhavan gets to know that Moorthy, a criminal, is responsible for his brother's death, he kills him without leaving any trace of the crime.",Joshiy,"['Dileep', 'Lakshmi Menon', 'Appu', 'Anju Aravind']"
God's Own Country,Drama,"Several story lines intertwine, linked by cold hard cash and the quest for justice.",Vasudevan Sanal,"['Sreenivasan', 'Isha Talwar', 'Anju Aravind', 'Fahadh Faasil']"
Ithihasa,"Action, Comedy, Drama",A male small-time crook and a female IT professional find themselves trapped in each other's body due to the magic of an ancient ring. Confusion and chaos ensue.,Binu Sadanandan,"['Binu Adimali', 'Anusree', 'Shine Tom Chacko', 'Pradeep Kottayam']"
1 by Two,Thriller,"Hari and Ravi are identical twins who share a very delicate and special emotional bond. When Hari dies in an accident, Ravi goes into a strange state of psychosis. Yousuf, a cop tries to uncover the mystery involved in the case.",Arun Kumar,"['Fahadh Faasil', 'Murali Gopy', 'Honey Rose', 'Shyamaprasad']"
Parankimala,Romance,"When the owner finds out about the affair between his son and their maid, he throws her out of his house. Later, she sacrifices her life for her lover.",Sennan Pallassery,"['Byon', 'Vinutha Lal', 'Meghna Vincent', 'Kalabhavan Mani']"
Peruchazhi,Comedy,The film is about how Jagannathan a young politician from India ends up being the chief political adviser to the California state Governor's election campaign and his use of tactics standard of Indian politics to win the election.,Arun Vaidyanathan,"['Mohanlal', 'Mukesh', 'Vijay Babu', 'Baburaj']"
Tamaar Padaar,Comedy,"Tubelight Mani and Jumper Thambi, two harmless, self-employed circus performers, gets misunderstood as two terrorists by ACP Pouran. He later understands the truth and now wants them released at all costs.",Dileesh Nair,"['Baburaj', 'Chemban Vinod Jose', 'Prithviraj Sukumaran', 'Srindaa']"
100 Degree Celsius,Thriller,"100 Degree Celsius is a Malayalam Thriller, written and directed by Rakesh Gopan. A women-centric movie, starring Shwetha Menon, Meghna Raj, Bhama, Ananya and Haritha. Based on a real-life ...See full summary»",Rakesh Gopan,"['Ananya', 'Arun', 'Bhama', 'Shweta Menon']"
The Dolphins,Comedy,"Panayamuttam Sura, a bar owner, consults an astrologer who predicts that his future will turn bright with the arrival of a lady. Believing him, he starts talking to a woman despite having a wife.",Deepan,"['Suresh Gopi', 'Anoop Menon', 'Kalpana', 'Meghana Raj']"
Njan Steve Lopez,"Drama, Romance, Thriller","A college student witnesses a gang attack and as his curiosity behind the encounter tries to get the better of him, he realizes that his dad and the police are involved.",Rajeev Ravi,"['Farhaan Faasil', 'Ahaana Krishna', 'Alencier Ley Lopez', 'Gibin Gopinath']"
To Let Ambadi Talkies,Drama,Manu And Anthony are close friends who dreams to become film makers. They decided to tell their own story to the producer,Sakkir Madathil,"['Arjun Ashokan', 'Harisree Ashokan', 'Shivaji Guruvayoor', 'K.B. Madhu']"
Gangster,"Action, Crime, Thriller","Akbar, a powerful man of Mangalore underworld, shares his business lead with Mani Menon and Uncle Sam. They share a good relationship until Anto, grandson of Uncle Sam, creates havoc.",Aashiq Abu,"['Ashwath Bhatt', 'Favour Francis', 'Aparna Gopinath', 'Kunchan']"
Salaam Kashmier,Drama,Sreekumar does all the domestic work in his family while his banker wife Suja is the breadwinner. All appears to be smooth until Tommy enters their life bringing back something which Sreekumar wants to run away from.,Joshiy,"['Jayaram', 'Suresh Gopi', 'Miya George', 'Krishna Kumar']"
Vasudha,Drama,"Vasudha works as a feature writer and an in-house photographer for a fashion magazine in the city of Mumbai. Like the millions in the city, she too shuttles between life and her family. A ...See full summary»",Subodh Chopra,"['Aadarsh', 'Geeta Nair', 'Suresh Nair']"
Villali Veeran,"Comedy, Drama",Siddharthan is a noble-hearted merchant who is burdened with lot of responsibilities in his life. His pursuit for money lands him in trouble and the film traces as to how he deals with his adversaries.,Sudheesh Sankar,"['Dileep', 'Namitha Pramod', 'Siddique', 'Kalabhavan Shajohn']"
Pakida,Thriller,"Aadi meets a mysterious and concealing traveler George Koshy Anthrapper and travels with him from Kochi to Madurai. On their way, they come across Sunny and Kani who change their lives.",Sunil Karayattukara,"['Asif Ali', 'P. Balachandran', 'Apoorva Bose', 'Shine Tom Chacko']"
Ring Master,"Drama, Romance",Follows the relation between a canine film star and its trainer.,Raffi,"['Dileep', 'Keerthy Suresh', 'Honey Rose', 'Vijayaraghavan']"
Homely Meals,Comedy,"There are lot of people who are waiting for a chance in Television and film industry. Homely Meals is the story of one such character Alan. The movie is all about the life, dreams and passion of current generation.",Anoop Kannan,"['Vipin Atley', 'Manoj K. Jayan', 'Rajesh Sharma', 'Nedumudi Venu']"
Mannar Mathai Speaking 2,Comedy,"Mannar Mathai has started a travel agency but he retains his love for theater. He wants to return to the world of thespians, but is he successful in doing so?",Mamas,"['Mukesh', 'Saikumar', 'Innocent Vareed Thekkethala', 'Biju Menon']"
Asha Black,"Drama, Thriller",The movie is all about romantic relationship between two youngsters.,John Robinson,"['Arjun Lal', 'R. Sarathkumar', 'Ishita Chauhan', 'Manoj K. Jayan']"
Apothecary,"Drama, Thriller","A doctor is haunted by his conscience, when puppeteer-ed by his superiors.",Madhav Ramadasan,"['Suresh Gopi', 'Jayasurya', 'Abhirami', 'Asif Ali']"
Thomson Villa,Drama,"Thomson Villa is a movie which revolves around the story of a girl, Jeelu who struggles a lot in life, who then comes to take care of a kid, Thommi, as a part-time job. He is the son of ...See full summary»",Abin Jacob,"['Ananya', 'Hemanth Menon', 'Sarayu Mohan', 'Lena']"
Angels,"Crime, Drama, Mystery",Hameem Haider (Indrajith) is a police officer who meets with an accident while investigating a series of murders and is forced to take a break from his duties. Years later the unsolved murders are picked up by a reality TV show.,Jean Markose,"['Indrajith Sukumaran', 'Joy Mathew', 'Asha Sharath', 'Lakshmi Priyaa Chandramouli']"
Bhaiyya Bhaiyya,"Comedy, Drama","A Malayalam Comedy about togetherness and brotherhood, portraying the importance to a group of people whom we refer to as 'Bengali Babus' in our social life. Babumon (Kunchacko Boban) and ...See full summary»",Johny Antony,"['Nisha Agarwal', 'Kunchacko Boban', 'Makrand Deshpande', 'Jacob Gregory']"
Manglish,Comedy,A fish auctioner's life changes after meeting a mysterious Jewish girl and his struggle to communicate with her in English.,Salam Bappu,"['Mammootty', 'Caroline Bech', 'Tini Tom', 'Srindaa']"
Perariyathavar,Drama,Film tells the story of marginalized people in Kerala through the life of a father who working as a temporary cleaner and his Eight year old son.,Bijukumar Damodaran,"['Suraj Venjaramoodu', 'Govardhan B.K', 'Indrans', 'Nedumudi Venu']"
Money Ratnam,"Comedy, Thriller","Neil comes across an unexpected incident, while returning after the New Year party. He tries to escape from the scene by getting into a bus where he gets a bag containing money left by someone else.",Santhosh Nair,"['SobuJ Ahmed', 'Chempil Asokan', 'Leema Babu', 'Fahadh Faasil']"
Seconds,"Mystery, Thriller",Four strangers gets involved in a murder which took place inside an elevator.,Aneesh Upasana,"['Jayasurya', 'Vinay Forrt', 'Aparna Nair', 'Vinayakan']"
Praise the Lord,Drama,An immensely rich farmer lives a peacefully with his family in Pala and has no idea about the hectic metro life. He gets introduced to it when he hides a love-stricken couple in his house.,Shibu Gangadharan,"['Reenu Mathews', 'Mohan Ayiroor', 'Sajitha Beti', 'Anoop Chandran']"
Mosayile Kuthira Meenukal,"Comedy, Drama, Romance","An unusual friendship between two escaped convicts is formed during a cat and mouse chase, which leads them to the beautiful islands of Lakshadweep.",Ajith Pillai,"['Asif Ali', 'P. Balachandran', 'Joju George', 'Janani Iyer']"
Aamayum Muyalum,Comedy,The people living in a poverty-stricken village become suspicious of one another after a man is found dead in the village.,Priyadarshan,"['Ambika', 'Harisree Ashokan', 'Idavela Babu', 'Piaa Bajpai']"
Hangover,Comedy,its a story of four friends going a trip to meet one's girl friend and about the mystrious incidents happening in their way,Sreejith Sukumaran,"['Shine Tom Chacko', 'Archanna Guptaa', 'Jose', 'Govind Krishna']"
Mizhi Thurakku,"Drama, Romance",A Malayalam romantic melodrama directed bySanthosh Souparnika.,Santhosh Souparnika,"['Kollam Ajith', 'Ashokan', 'Lissy Jose', 'Shaju K.S.']"
Varsham,Drama,"Venu (Mammootty) leads a happy and contented middle class life with his family. He starts a small scale finance firm, as a service and soon his business flourishes well. This does not go ...See full summary»",Ranjith Sankar,"['Mammootty', 'Asha Sharath', 'Prajwal Prasad', 'Mamta Mohandas']"
Beware of Dogs,"Adventure, Drama","Four friends rent a house and always manage to get in trouble with their landlord. One day, the group is forced to leave this rented house and flee to Pondicherry where a new journey awaits them.",Vishnu Prasad,"['Vishnu Sivaprasad', 'Sreenath Bhasi', 'Jasmine Bhasin', 'Joseph E.A.', 'Koottickal Jayachandran']"
John Paul Vaathil Thurakkunnu,Thriller,The movie plot revolves around a village lad who attends an interview in the city and gets drawn into a web of deceit and revenge.,Chandrahasan,"['Deepak Parambol', 'Sruthi Menon', 'Darshana Rajendran', 'Madhu']"
Hi I'm Tony,Thriller,"""Hi, I am Tony"" is a horror thriller based on happenings in a day in Bangalore. Sameer (Asif Ali) and Tina (Mia) elopes to Bangalore after their days of love. They live in a flat owned by ...See full summary»",Jean Paul Lal,"['Asif Ali', 'Miya George', 'Lal', 'Lena']"
